topic,term,beta
8,menneske,0.009305504746230445
1,miljø,6.401338227626437e-4
2,miljø,8.387609775544e-5
3,miljø,5.98314124934982e-7
4,miljø,4.3162532364211293e-4
5,miljø,9.060133861182163e-4
6,miljø,7.251425285499024e-4
7,miljø,4.3007443010522614e-4
8,miljø,6.407890320739908e-4
1,minister,1.2047382267929602e-4
2,minister,8.01251766294171e-5
3,minister,9.256751491834791e-4
4,minister,3.489354378072481e-6
5,minister,9.576017522240646e-4
6,minister,0.001581944263724087
7,minister,1.6960413227795786e-4
8,minister,1.592892568171635e-4
1,myndighed,4.6562533224587247e-4
2,myndighed,2.9629244123526455e-13
3,myndighed,1.986279924804868e-4
4,myndighed,3.265015164776997e-4
5,myndighed,4.126605992378394e-6
6,myndighed,0.0013198818962658857
7,myndighed,0.004120588130379338
8,myndighed,6.898551198517572e-5
1,netværk,7.894748985690446e-4
2,netværk,5.916466469257841e-7
3,netværk,2.8318184941664454e-9
4,netværk,2.8363622092989854e-4
5,netværk,4.701491403055762e-8
6,netværk,1.0572984454320386e-4
7,netværk,0.001973341638097565
8,netværk,1.0202916801438422e-4
1,nyhed,3.457634038120529e-5
2,nyhed,1.9057879678552195e-4
3,nyhed,1.728373721824853e-4
4,nyhed,6.53830827446181e-4
5,nyhed,0.007991263646339597
6,nyhed,4.5403172201859934e-4
7,nyhed,8.340277635540607e-4
8,nyhed,5.290403524797589e-4
1,økonomi,1.981688692464303e-4
2,økonomi,9.67790999817292e-6
3,økonomi,1.9401839558980412e-4
4,økonomi,0.0011356541570351705
5,økonomi,0.003637237752889932
6,økonomi,0.0020125279262173485
7,økonomi,5.650389582682395e-4
8,økonomi,2.507109414594961e-4
1,opinion,1.8828041350848992e-14
2,opinion,4.66230962286704e-13
3,opinion,1.9105430107200282e-18
4,opinion,7.446286611353223e-5
5,opinion,0.0016860664865473887
6,opinion,8.533979271097922e-4
7,opinion,1.9879906516827272e-5
8,opinion,1.766745258582876e-13
1,opstå,7.657534809689641e-4
2,opstå,2.1206227798901592e-4
3,opstå,4.510287979650523e-4
4,opstå,6.894120991154632e-5
5,opstå,5.293432898653663e-6
6,opstå,4.558922993298919e-4
7,opstå,7.749773355769635e-4
8,opstå,9.151411111065713e-4
1,person,0.0022084540943138418
2,person,2.3063353990304458e-4
3,person,5.493837057766413e-4
4,person,7.028218457856544e-4
5,person,8.678037546134104e-4
6,person,1.4017779268433556e-6
7,person,0.007480614215724323
8,person,6.552979869870064e-4
1,Peter,0.0011282490504583994
2,Peter,6.077577922585963e-4
3,Peter,6.244935228126518e-5
4,Peter,1.4203382647081087e-7
5,Peter,0.0016133177454341343
6,Peter,1.8930281997794104e-4
7,Peter,0.004215815454495921
8,Peter,0.0019879570125832997
1,rapport,0.0017292671948214867
2,rapport,1.1044586120071225e-6
3,rapport,1.6306905438272855e-4
4,rapport,4.504597972812194e-6
5,rapport,0.001845987838393322
6,rapport,3.8297381229731903e-4
7,rapport,0.00749623758456427
8,rapport,1.170647460089814e-4
1,resultat,7.806931487228345e-4
2,resultat,0.0019788371796210904
3,resultat,4.321676712065144e-4
4,resultat,0.001421016348379217
5,resultat,6.501930880598353e-4
6,resultat,4.215400583964106e-4
7,resultat,9.847753045087071e-6
8,resultat,9.665057586627287e-4
1,ryg,8.866321932674423e-5
2,ryg,4.1729480106515233e-4
3,ryg,6.135114901992885e-4
4,ryg,7.991378278915615e-5
5,ryg,6.833030490560872e-4
6,ryg,2.064156542181563e-5
7,ryg,9.897246534467379e-5
8,ryg,1.9206339098619993e-4
1,S,3.7655308927190775e-4
2,S,3.537468096414332e-16
